matchID,match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,Innings,out/not_out
T208377,LSG Vs DC,LSG,9,Ravi Bishnoi,0,2,0,0,0.00,1st Innings,out
T208377,LSG Vs DC,LSG,10,Digvesh Rathi,0,0,0,0,-,1st Innings,not_out
T208377,LSG Vs DC,DC,1,Jake Fraser-McGurk,1,2,0,0,50.00,2nd Innings,out
T208377,LSG Vs DC,DC,2,Faf du Plessis,29,18,3,2,161.11,2nd Innings,out
T208377,LSG Vs DC,DC,3,Abishek Porel,0,2,0,0,0.00,2nd Innings,out
T208377,LSG Vs DC,DC,4,Sameer Rizvi,4,4,1,0,100.00,2nd Innings,out
T208377,LSG Vs DC,DC,5,Axar Patel,22,11,3,1,200.00,2nd Innings,out
T208377,LSG Vs DC,DC,6,Tristan Stubbs,34,22,1,3,154.54,2nd Innings,out
T208377,LSG Vs DC,DC,7,Ashutosh Sharma,66,31,5,5,212.90,2nd Innings,not_out
T208377,LSG Vs DC,DC,8,Vipraj Nigam,39,15,5,2,260.00,2nd Innings,out
T208377,LSG Vs DC,DC,9,Mitchell Starc,2,5,0,0,40.00,2nd Innings,out
T208377,LSG Vs DC,DC,10,Kuldeep Yadav,5,5,1,0,100.00,2nd Innings,out
T208377,LSG Vs DC,DC,11,Mohit Sharma,1,2,0,0,50.00,2nd Innings,not_out
T202965,MI Vs CSK,MI,1,Rohit Sharma,0,4,0,0,0.00,1st Innings,out
T202965,MI Vs CSK,MI,2,Ryan Rickelton,13,7,3,0,185.71,1st Innings,out
T202965,MI Vs CSK,MI,3,Will Jacks,11,7,2,0,157.14,1st Innings,out
T202965,MI Vs CSK,MI,4,Suryakumar Yadav,29,26,2,1,111.53,1st Innings,out
T202965,MI Vs CSK,MI,5,Tilak Varma,31,25,2,2,124.00,1st Innings,out
T202965,MI Vs CSK,MI,6,Robin Minz,3,9,0,0,33.33,1st Innings,out
T202965,MI Vs CSK,MI,7,Naman Dhir,17,12,1,0,141.66,1st Innings,out
T202965,MI Vs CSK,MI,8,Mitchell Santner,11,13,1,0,84.61,1st Innings,out
T202965,MI Vs CSK,MI,9,Deepak Chahar,28,15,2,2,186.66,1st Innings,not_out
T202965,MI Vs CSK,MI,10,Trent Boult,1,2,0,0,50.00,1st Innings,out
T202965,MI Vs CSK,MI,11,Satyanarayana Raju,1,1,0,0,100.00,1st Innings,not_out
T202965,MI Vs CSK,CSK,1,Rachin Ravindra,65,45,2,4,144.44,2nd Innings,not_out
T202965,MI Vs CSK,CSK,2,Rahul Tripathi,2,3,0,0,66.66,2nd Innings,out
T202965,MI Vs CSK,CSK,3,Ruturaj Gaikwad,53,26,6,3,203.84,2nd Innings,out
T202965,MI Vs CSK,CSK,4,Shivam Dube,9,7,0,1,128.57,2nd Innings,out
T202965,MI Vs CSK,CSK,5,Deepak Hooda,3,5,0,0,60.00,2nd Innings,out
T202965,MI Vs CSK,CSK,6,Sam Curran,4,9,0,0,44.44,2nd Innings,out
T202965,MI Vs CSK,CSK,7,Ravindra Jadeja,17,18,1,0,94.44,2nd Innings,out
T202965,MI Vs CSK,CSK,8,MS Dhoni,0,2,0,0,0.00,2nd Innings,not_out
T209594,SRH Vs RR,SRH,1,Abhishek Sharma,24,11,5,0,218.18,1st Innings,out
T209594,SRH Vs RR,SRH,2,Travis Head,67,31,9,3,216.12,1st Innings,out
T209594,SRH Vs RR,SRH,3,Ishan Kishan,106,47,11,6,225.53,1st Innings,not_out
T209594,SRH Vs RR,SRH,4,Nitish Kumar Reddy,30,15,4,1,200.00,1st Innings,out
T209594,SRH Vs RR,SRH,5,Heinrich Klaasen,34,14,5,1,242.85,1st Innings,out
T209594,SRH Vs RR,SRH,6,Aniket Verma,7,3,0,1,233.33,1st Innings,out
T209594,SRH Vs RR,SRH,7,Abhinav Manohar,0,1,0,0,0.00,1st Innings,out
T209594,SRH Vs RR,SRH,8,Pat Cummins,0,1,0,0,0.00,1st Innings,not_out
T209594,SRH Vs RR,RR,1,Yashasvi Jaiswal,1,5,0,0,20.00,2nd Innings,out
T209594,SRH Vs RR,RR,2,Sanju Samson,66,37,7,4,178.37,2nd Innings,out
T209594,SRH Vs RR,RR,3,Riyan Parag,4,2,1,0,200.00,2nd Innings,out
T209594,SRH Vs RR,RR,4,Nitish Rana,11,8,2,0,137.50,2nd Innings,out
T209594,SRH Vs RR,RR,5,Dhruv Jurel,70,35,5,6,200.00,2nd Innings,out
T209594,SRH Vs RR,RR,6,Shimron Hetmyer,42,23,1,4,182.60,2nd Innings,out
T209594,SRH Vs RR,RR,7,Shubham Dubey,34,11,1,4,309.09,2nd Innings,not_out
T209594,SRH Vs RR,RR,8,Jofra Archer,1,1,0,0,100.00,2nd Innings,not_out
T202861,KKR Vs RCB,KKR,1,Quinton de Kock,4,5,1,0,80.00,1st Innings,out
T202861,KKR Vs RCB,KKR,2,Sunil Narine,44,26,5,3,169.23,1st Innings,out
T202861,KKR Vs RCB,KKR,3,Ajinkya Rahane,56,31,6,4,180.64,1st Innings,out
T202861,KKR Vs RCB,KKR,4,Venkatesh Iyer,6,7,1,0,85.71,1st Innings,out
T202861,KKR Vs RCB,KKR,5,Angkrish Raghuvanshi,30,22,2,1,136.36,1st Innings,out
T202861,KKR Vs RCB,KKR,6,Rinku Singh,12,10,1,0,120.00,1st Innings,out
T202861,KKR Vs RCB,KKR,7,Andre Russell,4,3,1,0,133.33,1st Innings,out
T202861,KKR Vs RCB,KKR,8,Ramandeep Singh,6,9,0,0,66.66,1st Innings,not_out
T202861,KKR Vs RCB,KKR,9,Harshit Rana,5,6,1,0,83.33,1st Innings,out
T202861,KKR Vs RCB,KKR,10,Spencer Johnson,1,1,0,0,100.00,1st Innings,not_out
T202861,KKR Vs RCB,RCB,1,Phil Salt,56,31,9,2,180.64,2nd Innings,out
T202861,KKR Vs RCB,RCB,2,Virat Kohli,59,36,4,3,163.88,2nd Innings,not_out
T202861,KKR Vs RCB,RCB,3,Devdutt Padikkal,10,10,1,0,100.00,2nd Innings,out
T202861,KKR Vs RCB,RCB,4,Rajat Patidar,34,16,5,1,212.50,2nd Innings,out
T202861,KKR Vs RCB,RCB,5,Liam Livingstone,15,5,2,1,300.00,2nd Innings,not_out
